date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2005-12-12,Bangladesh,India,1,1,SAFF Cup,Karachi,Pakistan,TRUE
2005-12-12,Nepal,Bhutan,3,1,SAFF Cup,Karachi,Pakistan,TRUE
2005-12-14,Maldives,India,0,1,SAFF Cup,Karachi,Pakistan,TRUE
2005-12-14,Mexico,Hungary,2,0,Friendly,Phoenix,United States,TRUE
2005-12-14,Pakistan,Bangladesh,0,1,SAFF Cup,Karachi,Pakistan,FALSE
2005-12-14,Zambia,DR Congo,4,1,Friendly,Chingola,Zambia,FALSE
2005-12-16,Mauritius,Réunion,1,1,Friendly,Curepipe,Mauritius,FALSE
2005-12-17,Bangladesh,India,0,2,SAFF Cup,Karachi,Pakistan,TRUE
2005-12-18,Antigua and Barbuda,Hungary,0,3,Friendly,Miami,United States,TRUE
2005-12-18,Réunion,Mauritius,1,2,Friendly,Saint-Pierre,Réunion,FALSE
2005-12-22,Bangladesh,Pakistan,0,0,AFC Asian Cup qualification,Dhaka,Bangladesh,FALSE
2005-12-24,Thailand,Latvia,1,1,King's Cup,Phang Nga,Thailand,FALSE
2005-12-25,Galicia,Uruguay,3,2,Friendly,Santiago de Compostela,Spain,FALSE
2005-12-26,North Korea,Latvia,1,1,King's Cup,Phuket,Thailand,TRUE
2005-12-26,Pakistan,Bangladesh,0,1,AFC Asian Cup qualification,Karachi,Pakistan,FALSE
2005-12-27,Ecuador,Senegal,1,2,Friendly,Cairo,Egypt,TRUE
2005-12-27,Egypt,Uganda,2,0,Friendly,Cairo,Egypt,FALSE
2005-12-28,Thailand,North Korea,0,2,King's Cup,Phuket,Thailand,FALSE
2005-12-28,Basque Country,Cameroon,0,1,Friendly,Bilbao,Spain,FALSE
2005-12-28,Catalonia,Paraguay,1,1,Friendly,Barcelona,Spain,FALSE
2005-12-28,Andalusia,China PR,4,1,Friendly,Cadiz,Spain,FALSE
2005-12-29,Ecuador,Uganda,1,2,Friendly,Cairo,Egypt,TRUE
2005-12-29,Egypt,Senegal,4,2,Friendly,Cairo,Egypt,FALSE
2005-12-30,Latvia,North Korea,2,1,King's Cup,Phuket,Thailand,TRUE
2006-01-02,Qatar,Libya,2,0,Friendly,Doha,Qatar,FALSE
2006-01-05,Egypt,Zimbabwe,2,0,Friendly,Alexandria,Egypt,FALSE
2006-01-07,Guinea,Togo,1,0,Friendly,Viry-Châtillon,France,TRUE
2006-01-09,Morocco,DR Congo,3,0,Friendly,Rabat,Morocco,FALSE
2006-01-11,Ghana,Togo,0,1,Friendly,Monastir,Tunisia,TRUE
2006-01-12,Tunisia,Libya,1,0,Friendly,Tunis,Tunisia,FALSE
2006-01-14,Egypt,South Africa,1,2,Friendly,Cairo,Egypt,FALSE
2006-01-14,Morocco,Zimbabwe,1,0,Friendly,Marrakech,Morocco,FALSE
2006-01-14,Senegal,DR Congo,0,0,Friendly,Dakar,Senegal,FALSE
2006-01-15,Tunisia,Ghana,2,0,Friendly,Tunis,Tunisia,FALSE
2006-01-17,Ivory Coast,Jordan,2,0,Friendly,Abu Dhabi,United Arab Emirates,TRUE
2006-01-17,Morocco,Angola,2,2,Friendly,Marrakech,Morocco,FALSE
2006-01-18,Saudi Arabia,Sweden,1,1,Friendly,Riyadh,Saudi Arabia,FALSE
2006-01-18,United Arab Emirates,South Korea,1,0,Friendly,Dubai,United Arab Emirates,FALSE
2006-01-20,Egypt,Libya,3,0,African Cup of Nations,Cairo,Egypt,FALSE
2006-01-21,Cameroon,Angola,3,1,African Cup of Nations,Cairo,Egypt,TRUE
2006-01-21,Greece,South Korea,1,1,Friendly,Riyadh,Saudi Arabia,TRUE
2006-01-21,Morocco,Ivory Coast,0,1,African Cup of Nations,Cairo,Egypt,TRUE
2006-01-21,Saudi Arabia,Finland,1,1,Friendly,Riyadh,Saudi Arabia,FALSE
2006-01-21,Togo,DR Congo,0,2,African Cup of Nations,Cairo,Egypt,TRUE
2006-01-22,South Africa,Guinea,0,2,African Cup of Nations,Alexandria,Egypt,TRUE
2006-01-22,Tunisia,Zambia,4,1,African Cup of Nations,Alexandria,Egypt,TRUE
2006-01-22,United States,Canada,0,0,Friendly,San Diego,United States,FALSE
2006-01-23,Jordan,Sweden,0,0,Friendly,Abu Dhabi,United Arab Emirates,TRUE
2006-01-23,Nigeria,Ghana,1,0,African Cup of Nations,Port Said,Egypt,TRUE
2006-01-23,Zimbabwe,Senegal,0,2,African Cup of Nations,Port Said,Egypt,TRUE
2006-01-24,Egypt,Morocco,0,0,African Cup of Nations,Cairo,Egypt,FALSE
2006-01-24,Libya,Ivory Coast,1,2,African Cup of Nations,Cairo,Egypt,TRUE
2006-01-25,Angola,DR Congo,0,0,African Cup of Nations,Cairo,Egypt,TRUE
2006-01-25,Cameroon,Togo,2,0,African Cup of Nations,Cairo,Egypt,TRUE
2006-01-25,Ecuador,Honduras,1,0,Friendly,Guayaquil,Ecuador,FALSE
2006-01-25,Finland,South Korea,0,1,Friendly,Riyadh,Saudi Arabia,TRUE
2006-01-25,Mexico,Norway,2,1,Friendly,San Francisco,United States,TRUE
2006-01-25,Saudi Arabia,Greece,1,1,Friendly,Riyadh,Saudi Arabia,FALSE
2006-01-26,Tunisia,South Africa,2,0,African Cup of Nations,Alexandria,Egypt,TRUE
2006-01-26,Zambia,Guinea,1,2,African Cup of Nations,Alexandria,Egypt,TRUE
2006-01-27,Ghana,Senegal,1,0,African Cup of Nations,Port Said,Egypt,TRUE
2006-01-27,Nigeria,Zimbabwe,2,0,African Cup of Nations,Port Said,Egypt,TRUE
2006-01-27,Northern Cyprus,Kyrgyzstan,3,2,Friendly,Nicosia,Northern Cyprus,FALSE
2006-01-27,Saudi Arabia,Lebanon,1,2,Friendly,Riyadh,Saudi Arabia,FALSE
2006-01-28,Egypt,Ivory Coast,3,1,African Cup of Nations,Cairo,Egypt,FALSE
2006-01-28,Libya,Morocco,0,0,African Cup of Nations,Cairo,Egypt,TRUE
2006-01-29,Angola,Togo,3,2,African Cup of Nations,Cairo,Egypt,TRUE
2006-01-29,Cameroon,DR Congo,2,0,African Cup of Nations,Cairo,Egypt,TRUE
2006-01-29,South Korea,Croatia,2,0,Lunar New Year Cup,So Kon Po,Hong Kong,TRUE
2006-01-29,United States,Norway,5,0,Friendly,Carson,United States,FALSE
2006-01-30,Bahrain,Syria,1,1,Friendly,Manama,Bahrain,FALSE
2006-01-30,Tunisia,Guinea,0,3,African Cup of Nations,Alexandria,Egypt,TRUE
2006-01-30,Zambia,South Africa,1,0,African Cup of Nations,Alexandria,Egypt,TRUE
2006-01-31,Ghana,Zimbabwe,1,2,African Cup of Nations,Ismailia,Egypt,TRUE
2006-01-31,Nigeria,Senegal,2,1,African Cup of Nations,Port Said,Egypt,TRUE
2006-02-01,Hong Kong,Croatia,0,4,Lunar New Year Cup,So Kon Po,Hong Kong,FALSE
2006-02-01,Thailand,Jordan,0,0,Friendly,Ayutthaya,Thailand,FALSE
2006-02-03,Egypt,DR Congo,4,1,African Cup of Nations,Cairo,Egypt,FALSE
2006-02-03,Guinea,Senegal,2,3,African Cup of Nations,Alexandria,Egypt,TRUE
2006-02-04,Cameroon,Ivory Coast,1,1,African Cup of Nations,Cairo,Egypt,TRUE
2006-02-04,Nigeria,Tunisia,1,1,African Cup of Nations,Port Said,Egypt,TRUE
2006-02-06,Oman,Singapore,1,0,Friendly,Doha,Qatar,TRUE
2006-02-07,Egypt,Senegal,2,1,African Cup of Nations,Cairo,Egypt,FALSE
2006-02-07,Kuwait,Jordan,2,1,Friendly,Kuwait City,Kuwait,FALSE
2006-02-07,Nigeria,Ivory Coast,0,1,African Cup of Nations,Alexandria,Egypt,TRUE
2006-02-07,Syria,Palestine,3,0,Friendly,Aleppo,Syria,FALSE
2006-02-09,Senegal,Nigeria,0,1,African Cup of Nations,Cairo,Egypt,TRUE
2006-02-10,Egypt,Ivory Coast,0,0,African Cup of Nations,Cairo,Egypt,FALSE
2006-02-10,United States,Japan,3,2,Friendly,San Francisco,United States,FALSE
2006-02-11,Costa Rica,South Korea,1,0,Friendly,Oakland,United States,TRUE
2006-02-12,China PR,Honduras,0,1,Friendly,Guangzhou,China PR,FALSE
2006-02-13,Oman,Iraq,1,0,Friendly,Muscat,Oman,FALSE
2006-02-14,Jordan,Kazakhstan,2,0,Friendly,Amman,Jordan,FALSE
2006-02-14,Qatar,Tajikistan,2,0,Friendly,Doha,Qatar,FALSE
2006-02-14,Saudi Arabia,Syria,1,1,Friendly,Jeddah,Saudi Arabia,FALSE
2006-02-15,Hong Kong,Singapore,1,1,Friendly,Victoria,Hong Kong,FALSE
2006-02-15,Mexico,South Korea,0,1,Friendly,Los Angeles,United States,TRUE
2006-02-16,Bahrain,Palestine,0,2,Friendly,Muharraq,Bahrain,FALSE
2006-02-16,Thailand,Iraq,4,3,Friendly,Ayutthaya,Thailand,FALSE
2006-02-18,Hong Kong,India,2,2,Friendly,Victoria,Hong Kong,FALSE
2006-02-18,Japan,Finland,2,0,Friendly,Fukuroi,Japan,FALSE
2006-02-18,Pakistan,Palestine,0,3,Friendly,Muharraq,Bahrain,TRUE
2006-02-19,New Zealand,Malaysia,1,0,Friendly,Christchurch,New Zealand,FALSE
2006-02-19,United States,Guatemala,4,0,Friendly,Frisco,United States,FALSE
2006-02-22,Bahrain,Australia,1,3,AFC Asian Cup qualification,Riffa,Bahrain,FALSE
2006-02-22,China PR,Palestine,2,0,AFC Asian Cup qualification,Guangzhou,China PR,FALSE
2006-02-22,Hong Kong,Qatar,0,3,AFC Asian Cup qualification,So Kon Po,Hong Kong,FALSE
2006-02-22,Iran,Chinese Taipei,4,0,AFC Asian Cup qualification,Teheran,Iran,FALSE
2006-02-22,Japan,India,6,0,AFC Asian Cup qualification,Yokohama,Japan,FALSE
2006-02-22,Jordan,Pakistan,3,0,AFC Asian Cup qualification,Amman,Jordan,FALSE
2006-02-22,Lebanon,Kuwait,1,1,AFC Asian Cup qualification,Beirut,Lebanon,FALSE
2006-02-22,Singapore,Iraq,2,0,AFC Asian Cup qualification,Singapore,Singapore,FALSE
2006-02-22,Syria,South Korea,1,2,AFC Asian Cup qualification,Aleppo,Syria,FALSE
2006-02-22,United Arab Emirates,Oman,1,0,AFC Asian Cup qualification,Dubai,United Arab Emirates,FALSE
2006-02-22,Uzbekistan,Bangladesh,5,0,AFC Asian Cup qualification,Tashkent,Uzbekistan,FALSE
2006-02-22,Yemen,Saudi Arabia,0,4,AFC Asian Cup qualification,Sana'a,Yemen,FALSE
2006-02-23,New Zealand,Malaysia,2,1,Friendly,North Shore,New Zealand,FALSE
2006-02-24,Guyana,Antigua and Barbuda,2,1,Friendly,Linden,Guyana,FALSE
2006-02-24,Kazakhstan,North Korea,0,0,Friendly,Larnaca,Cyprus,TRUE
2006-02-25,Saint Kitts and Nevis,Saint Martin,6,1,Friendly,Basseterre,Saint Kitts and Nevis,FALSE
2006-02-26,Guyana,Antigua and Barbuda,4,1,Friendly,Georgetown,Guyana,FALSE
2006-02-28,Algeria,Burkina Faso,0,0,Friendly,Rouen,France,TRUE
2006-02-28,Azerbaijan,Ukraine,0,0,Friendly,Baku,Azerbaijan,FALSE
2006-02-28,Bosnia and Herzegovina,Japan,2,2,Friendly,Dortmund,Germany,TRUE
2006-02-28,Cyprus,Slovenia,0,1,Cyprus International Tournament,Larnaca,Cyprus,FALSE
2006-02-28,Finland,Kazakhstan,0,0,Cyprus International Tournament,Larnaca,Cyprus,TRUE
2006-02-28,Greece,Belarus,1,0,Cyprus International Tournament,Limassol,Cyprus,TRUE
2006-02-28,Iceland,Trinidad and Tobago,0,2,Friendly,London,England,TRUE
2006-02-28,Romania,Armenia,2,0,Cyprus International Tournament,Nicosia,Cyprus,TRUE
2006-03-01,Albania,Lithuania,1,2,Friendly,Tirana,Albania,FALSE
2006-03-01,Argentina,Croatia,2,3,Friendly,Basel,Switzerland,TRUE
2006-03-01,Austria,Canada,0,2,Friendly,Vienna,Austria,FALSE
2006-03-01,Bangladesh,Hong Kong,0,1,AFC Asian Cup qualification,Dhaka,Bangladesh,FALSE
2006-03-01,Cyprus,Armenia,2,0,Cyprus International Tournament,Limassol,Cyprus,FALSE
2006-03-01,England,Uruguay,2,1,Friendly,Liverpool,England,FALSE
2006-03-01,Finland,Belarus,2,2,Cyprus International Tournament,Paphos,Cyprus,TRUE
2006-03-01,France,Slovakia,1,2,Friendly,Saint-Denis,France,FALSE
2006-03-01,India,Yemen,0,3,AFC Asian Cup qualification,New Delhi,India,FALSE
2006-03-01,Iran,Costa Rica,3,2,Friendly,Teheran,Iran,FALSE
2006-03-01,Iraq,China PR,2,1,AFC Asian Cup qualification,Al Ain,United Arab Emirates,TRUE
2006-03-01,Republic of Ireland,Sweden,3,0,Friendly,Dublin,Republic of Ireland,FALSE
2006-03-01,Israel,Denmark,0,2,Friendly,Ramat-Gan,Israel,FALSE
2006-03-01,Italy,Germany,4,1,Friendly,Florence,Italy,FALSE
2006-03-01,Kazakhstan,Greece,0,2,Cyprus International Tournament,Nicosia,Cyprus,TRUE
2006-03-01,South Korea,Angola,1,0,Friendly,Seoul,South Korea,FALSE
2006-03-01,Kuwait,Bahrain,0,0,AFC Asian Cup qualification,Kuwait City,Kuwait,FALSE
2006-03-01,Luxembourg,Belgium,0,2,Friendly,Luxembourg,Luxembourg,FALSE
2006-03-01,North Macedonia,Bulgaria,0,1,Friendly,Skopje,North Macedonia,FALSE
2006-03-01,Malta,Georgia,0,2,Malta International Tournament,Attard,Malta,FALSE
2006-03-01,Mexico,Ghana,1,0,Friendly,Frisco,United States,TRUE
2006-03-01,Netherlands,Ecuador,1,0,Friendly,Amsterdam,Netherlands,FALSE
2006-03-01,Northern Ireland,Estonia,1,0,Friendly,Belfast,Northern Ireland,FALSE
2006-03-01,Oman,Jordan,3,0,AFC Asian Cup qualification,Muscat,Oman,FALSE
2006-03-01,Pakistan,United Arab Emirates,1,4,AFC Asian Cup qualification,Karachi,Pakistan,FALSE
2006-03-01,Palestine,Singapore,1,0,AFC Asian Cup qualification,Amman,Jordan,TRUE
2006-03-01,Poland,United States,0,1,Friendly,Kaiserslautern,Germany,TRUE
2006-03-01,Qatar,Uzbekistan,2,1,AFC Asian Cup qualification,Doha,Qatar,FALSE
2006-03-01,Russia,Brazil,0,1,Friendly,Moscow,Russia,FALSE
2006-03-01,Saudi Arabia,Portugal,0,3,Friendly,Düsseldorf,Germany,TRUE
2006-03-01,Scotland,Switzerland,1,3,Friendly,Glasgow,Scotland,FALSE
2006-03-01,Senegal,Norway,2,1,Friendly,Dakar,Senegal,FALSE
2006-03-01,Slovenia,Romania,0,2,Cyprus International Tournament,Larnaca,Cyprus,TRUE
2006-03-01,Spain,Ivory Coast,3,2,Friendly,Valladolid,Spain,FALSE
2006-03-01,Tunisia,Serbia,0,1,Friendly,Radès,Tunisia,FALSE
2006-03-01,Turkey,Czech Republic,2,2,Friendly,Izmir,Turkey,FALSE
2006-03-01,Venezuela,Colombia,1,1,Friendly,Maracaibo,Venezuela,FALSE
2006-03-01,Wales,Paraguay,0,0,Friendly,Cardiff,Wales,FALSE
2006-03-04,Equatorial Guinea,Congo,2,1,Friendly,Bata,Equatorial Guinea,FALSE
2006-03-06,Equatorial Guinea,Chad,1,1,Friendly,Bata,Equatorial Guinea,FALSE
2006-03-08,Central African Republic,Gabon,2,2,Friendly,Malabo,Equatorial Guinea,TRUE
2006-03-08,Chad,Congo,0,0,Friendly,Bata,Equatorial Guinea,TRUE
2006-03-11,Equatorial Guinea,Gabon,0,0,Friendly,Bata,Equatorial Guinea,FALSE
2006-03-14,Chad,Gabon,2,2,Friendly,Bata,Equatorial Guinea,TRUE
2006-03-15,Saudi Arabia,Iraq,2,2,Friendly,Jeddah,Saudi Arabia,FALSE
2006-03-22,Albania,Georgia,0,0,Friendly,Tirana,Albania,FALSE
2006-03-22,Germany,United States,4,1,Friendly,Dortmund,Germany,FALSE
2006-03-26,Thailand,Philippines,5,0,Friendly,Chon Buri,Thailand,FALSE
2006-03-28,Saudi Arabia,Poland,1,2,Friendly,Riyadh,Saudi Arabia,FALSE
2006-03-29,Equatorial Guinea,Benin,2,0,Friendly,Bata,Equatorial Guinea,FALSE
2006-03-29,Mexico,Paraguay,2,1,Friendly,Chicago,United States,TRUE
2006-03-30,Japan,Ecuador,1,0,Friendly,Ōita,Japan,FALSE
2006-04-01,Bangladesh,Cambodia,2,1,AFC Challenge Cup,Dhaka,Bangladesh,FALSE
2006-04-01,Palestine,Guam,11,0,AFC Challenge Cup,Dhaka,Bangladesh,TRUE
2006-04-01,Tanzania,Zanzibar,2,2,Friendly,Dar es Salaam,Tanzania,FALSE
2006-04-02,Kyrgyzstan,Pakistan,0,1,AFC Challenge Cup,Dhaka,Bangladesh,TRUE
2006-04-02,Nepal,Bhutan,2,0,AFC Challenge Cup,Chittagong,Bangladesh,TRUE
2006-04-02,Sri Lanka,Brunei,1,0,AFC Challenge Cup,Chittagong,Bangladesh,TRUE
2006-04-02,Tajikistan,Macau,4,0,AFC Challenge Cup,Dhaka,Bangladesh,TRUE
2006-04-03,Afghanistan,Chinese Taipei,2,2,AFC Challenge Cup,Chittagong,Bangladesh,TRUE
2006-04-03,Bangladesh,Guam,3,0,AFC Challenge Cup,Dhaka,Bangladesh,FALSE
2006-04-03,Cambodia,Palestine,0,4,AFC Challenge Cup,Dhaka,Bangladesh,TRUE
2006-04-04,Bhutan,Sri Lanka,0,1,AFC Challenge Cup,Chittagong,Bangladesh,TRUE
2006-04-04,Brunei,Nepal,2,1,AFC Challenge Cup,Chittagong,Bangladesh,TRUE
2006-04-04,Pakistan,Tajikistan,0,2,AFC Challenge Cup,Dhaka,Bangladesh,TRUE
2006-04-05,Bangladesh,Palestine,1,1,AFC Challenge Cup,Dhaka,Bangladesh,FALSE
2006-04-05,Philippines,Afghanistan,1,1,AFC Challenge Cup,Chittagong,Bangladesh,TRUE
2006-04-06,Bhutan,Brunei,0,0,AFC Challenge Cup,Chittagong,Bangladesh,TRUE
2006-04-06,Cambodia,Guam,3,0,AFC Challenge Cup,Dhaka,Bangladesh,TRUE
2006-04-06,Pakistan,Macau,2,2,AFC Challenge Cup,Dhaka,Bangladesh,TRUE
2006-04-06,Sri Lanka,Nepal,1,1,AFC Challenge Cup,Chittagong,Bangladesh,TRUE
2006-04-06,Tajikistan,Kyrgyzstan,0,1,AFC Challenge Cup,Dhaka,Bangladesh,TRUE
2006-04-07,Macau,Kyrgyzstan,0,2,AFC Challenge Cup,Dhaka,Bangladesh,TRUE
2006-04-08,Sri Lanka,Chinese Taipei,3,0,AFC Challenge Cup,Chittagong,Bangladesh,TRUE
2006-04-09,Palestine,Kyrgyzstan,0,1,AFC Challenge Cup,Dhaka,Bangladesh,TRUE
2006-04-10,Bangladesh,Tajikistan,1,6,AFC Challenge Cup,Dhaka,Bangladesh,FALSE
2006-04-11,United States,Jamaica,1,1,Friendly,Cary,United States,FALSE
2006-04-12,Azerbaijan,Turkey,1,1,Friendly,Baku,Azerbaijan,FALSE
2006-04-12,Sri Lanka,Nepal,1,1,AFC Challenge Cup,Chittagong,Bangladesh,TRUE
2006-04-13,Tajikistan,Kyrgyzstan,2,0,AFC Challenge Cup,Dhaka,Bangladesh,TRUE
2006-04-14,Lesotho,Eswatini,5,0,Friendly,Maseru,Lesotho,FALSE
2006-04-16,Lesotho,Eswatini,2,2,Friendly,Maseru,Lesotho,FALSE
2006-04-16,Sri Lanka,Tajikistan,0,4,AFC Challenge Cup,Dhaka,Bangladesh,TRUE
2006-04-22,Kosovo,Monaco,7,1,Friendly,Cap-d'Ail,France,TRUE
2006-04-25,Chile,New Zealand,4,1,Friendly,Rancagua,Chile,FALSE
2006-04-27,Chile,New Zealand,1,0,Friendly,La Calera,Chile,FALSE
2006-04-29,Angola,Mauritius,5,1,COSAFA Cup,Maseru,Lesotho,TRUE
2006-04-29,Lesotho,Mozambique,0,0,COSAFA Cup,Maseru,Lesotho,FALSE
2006-04-30,Lesotho,Angola,1,3,COSAFA Cup,Maseru,Lesotho,FALSE
2006-04-30,Mauritius,Mozambique,0,0,COSAFA Cup,Maseru,Lesotho,TRUE
2006-05-01,Jersey,Guernsey,3,2,Friendly,St. Helier,Jersey,FALSE
2006-05-02,Poland,Lithuania,0,1,Friendly,Bełchatów,Poland,FALSE
2006-05-02,United Arab Emirates,Syria,2,1,Friendly,Dubai,United Arab Emirates,FALSE
2006-05-05,Mexico,Venezuela,1,0,Friendly,Pasadena,United States,TRUE
2006-05-09,Japan,Bulgaria,1,2,Kirin Cup,Osaka,Japan,FALSE
2006-05-10,Lesotho,South Africa,0,0,Friendly,Maseru,Lesotho,FALSE
2006-05-10,Trinidad and Tobago,Peru,1,1,Friendly,Port of Spain,Trinidad and Tobago,FALSE
2006-05-11,Belgium,Saudi Arabia,2,1,Friendly,Sittard,Netherlands,TRUE
2006-05-11,Bulgaria,Scotland,1,5,Kirin Cup,Kobe,Japan,TRUE
2006-05-12,Mexico,DR Congo,2,1,Friendly,Mexico City,Mexico,FALSE
2006-05-13,Japan,Scotland,0,0,Kirin Cup,Saitama,Japan,FALSE
2006-05-14,Botswana,Zambia,0,0,Friendly,Gaborone,Botswana,FALSE
2006-05-14,Poland,Faroe Islands,4,0,Friendly,Wronki,Poland,FALSE
2006-05-14,Saudi Arabia,Togo,1,0,Friendly,Sittard,Netherlands,TRUE
2006-05-18,Moldova,Azerbaijan,0,0,Friendly,Chişinău,Moldova,FALSE
2006-05-20,Botswana,Madagascar,2,0,COSAFA Cup,Gaborone,Botswana,FALSE
2006-05-20,Guadeloupe,Saint Lucia,2,1,Friendly,Les Abymes,Guadeloupe,FALSE
2006-05-20,Slovakia,Belgium,1,1,Friendly,Trnava,Slovakia,FALSE
2006-05-20,South Africa,Eswatini,1,0,COSAFA Cup,Gaborone,Botswana,TRUE
2006-05-21,Botswana,South Africa,0,0,COSAFA Cup,Gaborone,Botswana,FALSE
2006-05-21,Madagascar,Eswatini,0,2,COSAFA Cup,Gaborone,Botswana,TRUE
2006-05-21,Northern Ireland,Uruguay,0,1,Friendly,East Rutherford,United States,TRUE
2006-05-21,Basque Country,Wales,0,1,Friendly,Bilbao,Spain,FALSE
2006-05-23,Austria,Croatia,1,4,Friendly,Vienna,Austria,FALSE
2006-05-23,South Korea,Senegal,1,1,Friendly,Seoul,South Korea,FALSE
2006-05-23,Romania,Uruguay,0,2,Friendly,Los Angeles,United States,TRUE
2006-05-23,United States,Morocco,0,1,Friendly,Nashville,United States,FALSE
2006-05-24,Belgium,Turkey,3,3,Friendly,Genk,Belgium,FALSE
2006-05-24,Colombia,Ecuador,1,1,Friendly,East Rutherford,United States,TRUE
2006-05-24,Hungary,New Zealand,2,0,Friendly,Budapest,Hungary,FALSE
2006-05-24,Republic of Ireland,Chile,0,1,Friendly,Dublin,Republic of Ireland,FALSE
2006-05-24,Norway,Paraguay,2,2,Friendly,Oslo,Norway,FALSE
2006-05-24,Catalonia,Costa Rica,2,0,Friendly,Terrassa,Spain,FALSE
2006-05-25,Australia,Greece,1,0,Friendly,Melbourne,Australia,FALSE
2006-05-25,Sweden,Finland,0,0,Friendly,Gothenburg,Sweden,FALSE
2006-05-26,Czech Republic,Saudi Arabia,2,0,Friendly,Innsbruck,Austria,TRUE
2006-05-26,South Korea,Bosnia and Herzegovina,2,0,Friendly,Seoul,South Korea,FALSE
2006-05-26,Romania,Northern Ireland,2,0,Friendly,Chicago,United States,TRUE
2006-05-26,Turkey,Ghana,1,1,Friendly,Bochum,Germany,TRUE
2006-05-26,United States,Venezuela,2,0,Friendly,Cleveland,United States,FALSE
2006-05-27,Denmark,Paraguay,1,1,Friendly,Århus,Denmark,FALSE
2006-05-27,France,Mexico,1,0,Friendly,Saint-Denis,France,FALSE
2006-05-27,Georgia,New Zealand,1,3,Friendly,Altenkirchen,Germany,TRUE
2006-05-27,Germany,Luxembourg,7,0,Friendly,Freiburg,Germany,FALSE
2006-05-27,Netherlands,Cameroon,1,0,Friendly,Rotterdam,Netherlands,FALSE
2006-05-27,Portugal,Cape Verde,4,1,Friendly,Évora,Portugal,FALSE
2006-05-27,Romania,Colombia,0,0,Friendly,Chicago,United States,TRUE
2006-05-27,Serbia,Uruguay,1,1,Friendly,Belgrade,Serbia and Montenegro,FALSE
2006-05-27,Spain,Russia,0,0,Friendly,Albacete,Spain,FALSE
2006-05-27,Switzerland,Ivory Coast,1,1,Friendly,Basel,Switzerland,FALSE
2006-05-27,Wales,Trinidad and Tobago,2,1,Friendly,Graz,Austria,TRUE
2006-05-28,Croatia,Iran,2,2,Friendly,Osijek,Croatia,FALSE
2006-05-28,North Macedonia,Ecuador,2,1,Friendly,Getafe,Spain,TRUE
2006-05-28,Morocco,Mali,0,1,Friendly,Colombes,France,TRUE
2006-05-28,Turkey,Estonia,1,1,Friendly,Hamburg,Germany,TRUE
2006-05-28,Ukraine,Costa Rica,4,0,Friendly,Kyïv,Ukraine,FALSE
2006-05-28,United States,Latvia,1,0,Friendly,East Hartford,United States,FALSE
2006-05-29,Jamaica,Ghana,1,4,Friendly,Leicester,England,TRUE
2006-05-29,Northern Cyprus,Greenland,1,0,FIFI Wild Cup,Hamburg,Germany,TRUE
2006-05-29,Republic of St. Pauli,Gibraltar,1,1,FIFI Wild Cup,Hamburg,Germany,FALSE
2006-05-30,Argentina,Angola,2,0,Friendly,Salerno,Italy,TRUE
2006-05-30,Chile,Ivory Coast,1,1,Friendly,Vittel,France,TRUE
2006-05-30,Czech Republic,Costa Rica,1,0,Friendly,Jablonec nad Nisou,Czech Republic,FALSE
2006-05-30,England,Hungary,3,1,Friendly,Manchester,England,FALSE
2006-05-30,Germany,Japan,2,2,Friendly,Leverkusen,Germany,FALSE
2006-05-30,Libya,Uruguay,1,2,Friendly,Radès,Tunisia,TRUE
2006-05-30,Poland,Colombia,1,2,Friendly,Chorzów,Poland,FALSE
2006-05-30,Tunisia,Belarus,3,0,Friendly,Radès,Tunisia,FALSE
2006-05-30,Zanzibar,Northern Cyprus,1,3,FIFI Wild Cup,Hamburg,Germany,TRUE
2006-05-30,Republic of St. Pauli,Tibet,7,0,FIFI Wild Cup,Hamburg,Germany,FALSE
2006-05-31,Estonia,New Zealand,1,1,Friendly,Tallinn,Estonia,FALSE
2006-05-31,France,Denmark,2,0,Friendly,Lens,France,FALSE
2006-05-31,Georgia,Paraguay,0,1,Friendly,Dornbirn,Austria,TRUE
2006-05-31,Gibraltar,Tibet,5,0,FIFI Wild Cup,Hamburg,Germany,TRUE
2006-05-31,Greenland,Zanzibar,2,4,FIFI Wild Cup,Hamburg,Germany,TRUE
2006-05-31,Iran,Bosnia and Herzegovina,5,2,Friendly,Teheran,Iran,FALSE
2006-05-31,Saudi Arabia,Turkey,0,1,Friendly,Offenbach am Main,Germany,TRUE
2006-05-31,Singapore,Malaysia,0,0,Friendly,Singapore,Singapore,FALSE
2006-05-31,Slovenia,Trinidad and Tobago,3,1,Friendly,Celje,Slovenia,FALSE
2006-05-31,Switzerland,Italy,1,1,Friendly,Geneva,Switzerland,FALSE
2006-06-01,Netherlands,Mexico,2,1,Friendly,Eindhoven,Netherlands,FALSE
2006-06-01,Northern Cyprus,Gibraltar,2,0,FIFI Wild Cup,Hamburg,Germany,TRUE
2006-06-01,Republic of St. Pauli,Zanzibar,1,2,FIFI Wild Cup,Hamburg,Germany,FALSE
2006-06-01,Norway,South Korea,0,0,Friendly,Oslo,Norway,FALSE
2006-06-02,Angola,Turkey,2,3,Friendly,Sittard,Netherlands,TRUE
2006-06-02,Germany,Colombia,3,0,Friendly,Mönchengladbach,Germany,FALSE
2006-06-02,Italy,Ukraine,0,0,Friendly,Lausanne,Switzerland,TRUE
2006-06-02,Libya,Belarus,1,1,Friendly,Radès,Tunisia,TRUE
